charge_key,charge_kind,charge_name,unit,zuora_charge_model,product_rate_plan_id,product_rate_plan_charge_id,zuora_product_name,zuora_charge_name
pack:suite_s,subscription,Full Suite Starter,employee,Tiered — employees,,,,
pack:suite_p,subscription,Full Suite Pro,employee,Tiered — employees,,,,
pack:ph_s,subscription,Predictive hiring Starter,recruitment,"Volume Pricing, Flat Fee per band — quantity is committed recruitments",,,,
pack:ph_p,subscription,Predictive hiring Pro,recruitment,"Volume Pricing, Flat Fee per band — quantity is committed recruitments",,,,
pack:ta_1,subscription,Talent assessment Pro,employee,Tiered — employees,,,,
pack:perf_s,subscription,Performance Starter,employee,Tiered — employees,,,,
pack:perf_p,subscription,Performance Pro,employee,Tiered — employees,,,,
pack:dev_st,subscription,Development Starter Training,employee,Tiered — employees,,,,
pack:dev_ss,subscription,Development Starter Skills,employee,Tiered — employees,,,,
pack:dev_sa,subscription,Development Starter Assessments,employee,Tiered — employees,,,,
pack:dev_p,subscription,Development Pro,employee,Tiered — employees,,,,
pack:eng_s,subscription,Engagement Starter,employee,Tiered — employees,,,,
pack:eng_p,subscription,Engagement Pro,employee,Tiered — employees,,,,
pack:comp_s,subscription,Compensation Starter,employee,Tiered — employees,,,,
pack:comp_p,subscription,Compensation Pro,employee,Tiered — employees,,,,
yearly:academy,recurring-service,E-learning academy,seat,Recurring flat fee,,,,
yearly:csm,recurring-service,Named customer success manager,,Recurring flat fee,,,,
yearly:support,recurring-service,Premium support,,Recurring flat fee,,,,
yearly:maint,recurring-service,Integration maintenance,,Recurring flat fee,,,,
setup:onb_std,one-time,Onboarding & implementation,,One-time,,,,
setup:onb_ent,one-time,Enterprise implementation,,One-time,,,,
setup:cert,one-time,Assessor certification,seat,One-time,,,,
setup:mgr_ws,one-time,Manager workshop,session,One-time,,,,
setup:consult,one-time,Consultancy,hour,One-time,,,,
setup:migrate,one-time,Data migration,,One-time,,,,
setup:integ,one-time,Integration,system,One-time,,,,
ai:ai_10,one-time,10 000 extra AI credits,,One-time,,,,
ai:ai_25,one-time,25 000 extra AI credits,,One-time,,,,
ai:ai_50,one-time,50 000 extra AI credits,,One-time,,,,
